scenario,scenario_label,replicates,peak_recovery_pct,exact_wave_count_pct,median_abs_peak_error_days,p90_abs_peak_error_days,mean_signed_peak_error_days,false_positive_peaks_per_run,median_burden_error_pct,burden_error_q10,burden_error_q90
ideal_weekly,"Weekly, constant fatality",240,99.86111111111111,98.75,10.0,18.0,3.5743055555555556,0.016666666666666666,0.086897101638439,-2.9544863114539077,2.588841736841254
low_signal,"Weekly, lower mortality signal",240,98.19444444444444,85.0,12.0,22.549999999999997,2.816666666666667,0.2125,-68.79040902473912,-70.47097550660776,-66.98066312725189
between_wave_ifr,"Weekly, fatality differs by wave",240,99.86111111111111,100.0,10.0,19.0,4.409027777777778,0.004166666666666667,-19.98197921651861,-22.46525711587758,-16.86188181052784
within_wave_ifr,"Weekly, fatality declines within waves",240,99.86111111111111,100.0,10.0,18.0,1.2361111111111112,0.004166666666666667,-24.840214304648647,-27.237891542888917,-22.2141577081927
delay_14,"Weekly, true delay 14 d",240,99.86111111111111,98.75,10.0,18.0,-2.736111111111111,0.016666666666666666,-0.490988416039434,-3.6703005829214375,2.710951050488465
delay_26,"Weekly, true delay 26 d",240,99.58333333333333,98.75,10.0,20.0,9.140972222222222,0.025,-0.27768113324144195,-3.154340312479129,3.1623672988784812
monthly,Monthly reporting,240,99.02777777777779,99.58333333333333,11.0,17.099999999999994,4.492361111111111,0.03333333333333333,-1.176414261204356,-7.316566394195783,5.248347789486561
non_epidemic_shock,Weekly + non-epidemic mortality shock,240,96.25,42.5,10.0,19.0,3.1958333333333333,0.7083333333333334,2.849138541561591,-0.19493669979377845,5.812727464712714
